EIN,Name
134249347,SOUTH TEXAS WATER UTILITY MANAGERS ASSOCIATION
202320697,CRIGHTON WOODS HOMEOWNERS ASSOCIATION INC
202422242,ARBORETUM MARKET INVESTMENT GROUP INC
205508016,TEXAS CLEAN AIR CITIES COALITION TCACC
237158154,HOUSTON ASSOCIATION OF PROFESSIONAL LANDMEN HAPL
237174515,LITTLE RIVER ACADEMY IMPROVEMENT ASSOCIATION
237221304,WOODLAND HILLS TRAIL ASSOCIATION
237243633,SHERWOOD ELM GROVE TRAIL ASSOCIATION
237291903,LAKEWOOD FOREST FUND INC
237357269,TEXAS AIRSTREAM HARBOR INC
237417511,AMERICAN SOCIETY OF INTERIOR DESIGNERS INC TEXAS GULF COAST CHAPTER
260141140,CLEAN TECHNOLOGY AND SUSTAINABLE INDUSTRIES ORGANIZATION
260435585,BARNETT SHALE ENERGY EDUCATIONCOUNCIL
261316359,CROSS TIMBERS LANDOWNERS CONSERVANCY
264777238,WOMENS ENERGY NETWORK NORTH TEXAS
270046191,TEXAS ALLIANCE FOR RESPONSIBLE GROWTH ENVIRONMENT TRANSPORTATION TARGET
272005123,NATIONAL OCEAN POLICY COALITION
274287579,GULF COAST COMMERCIAL RE NETWORK INC
352494009,SOCIETY OF LAKE MANAGEMENT PROFESSIONALS
432080187,EAST SHORE COMMUNITY ASSOCIATION
462620036,GULF COAST COALITION OF CITIES
463376103,TEXAS CONSERVATION ASSOCIATION FOR WATER AND SOIL
463895729,TEXANS FOR CLEAN WATER INC
465448781,TEXAS SOLAR POWER ASSOCIATION
465657859,TEXAS COUNCIL OF ROYALTY OWNERS
472261024,OUR NATIONS ENERGY FUTURE COALITION INC ONE FUTURE
473663656,ENERGY POLICY NETWORK
474610390,NATURAL GAS TRAINING COUNCIL
510187748,DALLAS GARDEN CLUB OF THE DALLAS WOMANS CLUB
521812626,CASE MANAGEMENT SOCIETY OF AMERICA INC HOUSTON GULF COAST CHAPTER OF CMSA
611490192,DALLAS WOODS AND WATERS CLUB
736174958,ELISE V CANN TR
741051987,TEXAS WATER CONSERVATION ASSOCIATION
741211684,SATTERWHITE DUFFY LAKE INC
741361102,TEXAS LAND TITLE ASSOCIATION INC
741607050,TWIN MOUNTAIN MANOR INC
741611738,PONDEROSA FOREST MAINTENANCE ASSOCIATION
741648152,NORCHESTER MAINTENANCE FUND INC
741689282,CORPUS CHRISTI AREA OIL SPILL CONTROL ASSOCIATION
741708558,GREENWOOD FOREST FUND INC
741750209,WOODLAND TRAILS NORTH COMMUNITY IMPROVEMENT ASSOCIATION
741780447,CY FOREST SERVICE ASSOCIATION INC
741846582,ASSOCIATED BUILDERS AND CONTRACTORS INC TEXAS GULF COAST CHAPTER
741918040,TEXAS MINING AND RECLAMATION ASSOCIATION
741956079,ASSOCIATION OF WATER BOARD DIRECTORS INCORPORATED
742010402,CHAMPION FOREST MAINTENANCE FUND INC
742053921,TEXAS ECONMIC DEVELOPMENT COUNCIL INC
742094805,KINGS POINT TRAIL ASSOCIATION
742117354,LEXINGTON WOODS OWNERS COMMITTEE INC
742258347,ASSOCIATED BUILDERS AND CONTRACTORS INC TEXAS COASTAL BEND CHAPTER
742279212,ASSOCIATED BUILDERS AND CONTRACTORS INC TEXAS MID COAST CHAPTER
742350192,TEXAS RENEWABLE ENERGY INDUSTRIES
742350796,LAKES MASTER ASSOCIATION INC
742586243,RECYCLING COUNCIL OF TEXAS
742633614,COASTAL BEND GUIDES ASSOCIATION
742742695,TEXAS LAND DEVELOPERS ASSOCIATION INC
742886586,TEXAS HILL COUNTRY RIVER REGION INC
742891025,TEXAS CAMPAIGN FOR THE ENVIRONMENT
742990805,TEXAS PUBLIC INTEREST RESEARCH GROUP INC
743136755,CARLTON WOODS CREEKSIDE ASSOCIATION INC
746068995,TEXAS SOCIETY OF PROFESSIONAL SURVEYORS 9 GULF COAST
746069002,MESQUITE TRAIL DRIVERS ASSOCIATION
746203782,GALVESTON BAY CRUISING ASSOCIATION INC
750468867,OAK GROVE MEMORIAL GARDENS
750771007,TEXAS FORESTRY ASSOCIATION
750787690,LAKE LYDIA INC
750975500,AMERICAN ASSOC OF PROFESSIONAL LANDMEN INC
751090630,GREENWAY PARKS HOME OWNERS ASSOCIATION
751220638,ROLLING PLAINS COTTON GROWERS INC
751514511,MARIANNE SCRUGGS GARDEN CLUB
751909562,AMERICAN SOCIETY OF LANDSCAPE ARCHITECTS INC TEXAS CHAPTER
751954862,WOODS CEMETERY ASSOCIATION
752307599,TNT JUDGES STUDY CLUB
752351673,CENTER FOR LEGISLATIVE ENERGY AND ENVIRONMENTAL RESEARCH
752655909,NORTH TEXAS SECTION OF THE WATER ENVIRONMENT ASSOCIATION OF TEXAS
752711443,LAUDERDALE RIVER INC
752774331,WOODS OF SPRINGCREEK II HOMEOWNERS ASSOC
756037412,3 H LAKE INC
760046520,INTERWOOD ASSOCIATION INC
760097383,AUDUBON PARK C I A
760243519,GULF COAST COGENERATION ASSOCIATION INC
760352605,CLEAR LAKE CITY BLVD ASSOCIATION
760372678,UNDERGROUD CONSTRUCTION TECHNOLOGY ASSOCIATION INC
760388046,HARBOR PROPERTIES
760391164,LAFFITES COVE AT PIRATES BEACH NATURE SOCIETY
760440865,GULF COAST ASSOCIATION OF GEOLOGICAL SOCIETIES INC
760458344,WOMENS ENERGY NETWORK OF HOUSTON TEXAS WENH
760529161,LAKE LIVINGSTON WTR SPLY AND SWR SERV CORP
760656365,CARLTON WOODS ASSOCIATION INC
800927243,WATERFOWL PRESERVATION ALLIANCE INC
820571299,OVERTON WOODS HOMEOWNERS ASSOCIATION INC
830462989,POSSUM KINGDOM LAKE PRESERVATION ASSOCIATION
840571239,TEXAS AUTOMOTIVE DISMANTLERS AND RECYCLERS ASSOCIATION
270586701,CO2 IS GREEN INC
741711799,NOTTINGHAM FOREST CLUB OF HOUSTON INC
746069809,AUSTIN WOODS AND WATERS CLUB
746059311,SOCIETY OF INDEPENDENT PROFESSIONAL EARTH SCIENTISTS
260571108,1865 LINTON AND 1495 SPRING HARBOR INC
760495195,LINKS INC GULF COAST APOLLO CHAPTER
451273200,WASTEWATER ENVIRONMENTALISTS OF TEXAS INC
751594442,PINE TREE MANOR INC
741617540,MEDINA LAKE BETTERMENT ASSOCIATION
742276131,CASTRO GARDEN CLUB
742741170,TEXAS ON-SITE WASTEWATER ASSOCIATION INC
463567636,AUSTIN ADAM INC
271298380,COALITION FOR RESPONSIBLE REGULATION INC
270428950,COVES OF BRIGHTON BAY LLC
740676255,ASBESTOS WORKERS LOCAL 22 GENERAL 22 AWIA
742168039,TEXAS VEGETABLE ASSOCIATION
742772459,TEXAS GULF COAST SUPERINTENDENTS ASSOCIATION INC
750399805,LONG GLADE LAKE INC
10736021,FRIENDS OF BALCONES CANYONLANDS NATIONAL WILDLIFE REFUGE
20749601,TEXAS ENVIRONMENTAL JUSTICE ADVOCACY SERVICES
43695294,HOUSTON BOTANIC GARDEN
50541975,CHAMPIONS KIDS CAMP INC
61693724,U S GREEN BUILDING COUNCIL GREATER TEXAS GULF COAST CHAPTER
61730795,U S GREEN BUILDING COUNCIL NORTH TEXAS CHAPTER
113736286,NATIONAL NETWORK OF ABORTION FUNDS TEXAS EQUAL ACCESS FUND
142003280,ENVIRONMENTAL STEWARDSHIP
200325123,COASTAL BEACH AND BAY FOUNDATION
200627004,NATIONAL NETWORK OF ABORTION FUNDS BUSH RELIEF FUND
201111056,TEXAS BOTANICAL GARDENS AND NATIVE AMERICAN INTERPRETIVE CENTER INC
201402741,ALLIANCE OF COMMUNITY TRAINERS
201508875,LANDA GARDENS CONSERVANCY
201556341,WILDLIFE HABITAT FEDERATION
201896071,COASTAL PRAIRIE CHAPTR OF THE TEXAS MASTER NATURALISTS INCORPORATED
201991058,SIBLEY ENVIRONMENTAL LEARNING CENTER FOUNDATION INC
202110579,JASPER ARBORETUM AND SANDY CREEK NATURE TRAIL BOARD INCORPORATED
203398696,GROUNDWORK DALLAS
203415046,FRIENDS OF BLUE HOLE
204467651,HOMEBASE TEXAS DBA HOMEBASE
205267886,TEXAS FOUNDATION FOR INNOVATIVE COMMUNITIES
205308443,TEXAS FLOODPLAIN MANAGEMENTASSOCIATION
205675573,CYPRESS WOODS BAND BOOSTERASSOCIATION
208867074,GREENS BAYOU CORRIDOR COALITION
223872351,TWELVE HILLS NATURE CENTER INC
223880229,TEXAS ENVIRONMENTAL RESEARCH CONSORTIUM
237011870,HOUSTON AUDUBON SOCIETY
237039786,FOUNDERS GARDEN CLUB OF DALLAS
237109965,STREAMS AND VALLEYS INC
237221209,FORT WORTH BOTANICAL SOCIETY
237303703,INTERNATIONAL WATER RESOURCES ASSOCIATION INC
237375815,DALLAS ARBORETUM AND BOTANICAL
237403757,ARMAND BAYOU NATURE CENTER INC
237408422,VET TRIIP INC
237419890,MENS GARDEN CLUB OF AUSTIN INC GARDEN CLUB OF AUSTIN
251907558,GREATER EDWARDS AQUIFER ALLIANCE INC
260106908,HILL COUNTRY ALLIANCE
260440839,KEEP VICTORIA BEAUTIFUL
260573774,THROCKMORTON BEAUTIFICATIONCOMMITTEE INC
262117714,CLEANTX FOUNDATION INC
262197283,AUSTIN GREEN ART
262959996,WOODS PROJECT INC
263090197,TRAVIS HABITAT AND LAND CONSERVANCY
263299387,FORT BEND GREEN
263638933,TEXAS INSTITUTE
263749177,SAN ANTONIO BAY FOUNDATION
264419008,ECO ELP INC ECO EL PASO
270061465,INTERNATIONAL ASSOCIATION FOR SOCIETY AND NATURAL RESOURCES
270326758,DALLAS IS GARDENING INC LAKE HIGHLANDS COMMUNITY GARDEN
270505879,INTERNATIONAL MARITIME AND ENERGY CENTER OF HOUSTON
270712564,JOHN BUNKER SANDS WETLAND CENTER
270744614,PECAN STREET INC
271255467,DASH FOR THE BEADS
271310367,HEALTHCODE
273114002,H2O4TEXAS COALITION
273286641,PORT OF HOUSTON PARTNERS IN MARITIME EDUCATION INC
273340044,GREENBELT ALLIANCE OF DENTON COUNTY
273741373,WHITE ROCK LAKE CONSERVANCY INC
273768198,WOODS AND WATER KIDS ADVENTURES INC
273886247,ECOSOLUTIONS FOUNDATION INC
274272004,DEVILS RIVER CONSERVANCY
274344761,PRIMERO CONSERVATION
274374251,MAGNOLIA GARDEN CLUB
274815396,GRID EARTH PROJECT
275011623,EATON HILL NATURE CENTER AND PRESERVE
300028134,DEVILS SINKHOLE SOCIETY INC
300197688,LA FRONTERA CONSERVATION FUND
300276347,HOUSTON REGIONAL MONITORING CORPORATION
300287080,FRIENDS OF MANDELL PARK
300630886,SERVICE ORGANIZATION OF THE PINEY WOODS
311721705,ANGLICAN COMMUNION COMPASS ROSE SOCIETY INC
320004133,TECHNOLOGY HORIZONS FOUNDATION
320108650,HOUSTON AREA URBAN FORESTRY COUNCIL
320172662,FRIENDS OF THE RIVER SAN BERNARD
352300551,SAN ANTONIO ARBORIST ASSOCIATION
362797811,WOMENS COUNCIL GARDEN OF THE DALLAS ARBORETUM AND BOTANICAL SOCIETY INC
364685823,LAND CONSERVATION SOCIETY OF TEXAS INC
371524180,CLEANING FOR A REASON
371581800,GLEN ROSE BAND BOOSTER CLUB
371651856,TEXAS INSTITUTE OF SUSTAINABILITY INC
383801620,SAVE THE LAMPASAS RIVER INC
421573695,HOUSTON WILDERNESS INC
421602181,SAN ANTONIO RIVER FOUNDATION
421645381,FRONTERA LAND ALLIANCE
431987259,TEXAS WATERSHED MANAGEMENT FOUNDATION
451864591,TAKING CARE OF TEXAS
452609167,COASTAL PRAIRIE PARTNERSHIP
452669262,CITIZENS AGAINST THE LANDFILL IN HEMPSTEAD
452701367,MISSION VERDE ALLIANCE
453230780,POWER PLANTING INTERNATIONAL
453662285,SOUTH CENTRAL PARTNERSHIP FOR ENERGY EFFICIENCY AS A RESOURCE
453929881,MERCURY ONE INC
454477343,CULLINAN PARK CONSERVANCY
454908468,BISBEES FISH AND WILDLIFE CONSERVATION FUND
454914737,RETREET
455242196,WATER QUEST INC
460809569,INTERNATIONAL SOIL AND WATER ENVIRONMENTAL EDUCATION PROGRAM IN
460920592,TEXAS LITTER CONTROL
461195052,KIDS ON THE LAND INC KIDS ON THE LAND
461481647,COLORADO RIVER LAND TRUST INC
462191456,BUILDING CONSERVATION TRUST
462705100,SHOAL CREEK CONSERVANCY
463275286,VASUDHA FOUNDATION USA INC
463372095,FUND TEXAS CHOICE
463836254,KEEP YORKTOWN BEAUTIFUL
464255110,LONE STAR COASTAL ALLIANCE
464285669,BAY AREA COASTAL PROTECTION ALLIANCE
464341951,THIRSTY GROUND INTERNATIONAL
465326050,FRIENDS OF QUINTA MAZATLAN
465427185,TEXAS WATER SMART FOUNDATION
465531708,RENEWABLE ENERGY FOR BETTER LIFE FOUNDATION
465679660,BETTER PARKS FOR GALVESTON
471042976,GAIA SOUL ALLIANCE FOUNDATION
471602215,EDWARDS AQUIFER CONSERVANCY
471924312,KEEP HOWE BEAUTIFUL
471982274,TANZANIA WILDLIFE AND CONSERVATION FUND INC
473051483,ZILKER BOTANICAL GARDEN CONSERVANCY NON PROFIT CORPORATION
481284000,COASTAL PRAIRIE COALITION GRAZING LANDS CONSERVATION INITIATIVE INC
522422392,TEXAS PUBLIC INTEREST RESEARCH GROUP EDUCATION FUND INC
542143893,DENTON COUNTY MASTER GARDENER ASSOCIATATION
562375157,IMAGES FOR CONSERVATION FUND
562518503,FRIENDS OF THE BRAZOS RIVER INC
562591697,ENVIRONMENT TEXAS RESEARCH AND POLICY CENTER INC
620604364,THE AFRICAN VIOLET SOCIETY OF AMERICA INC
710920918,WATERSHED
731628865,GUADALUPE BLANCO RIVER TRUST
741145998,RIVER OAKS GARDEN CLUB
741154434,ASSOCIATION OF TEXAS SOIL CONSERVATION DISTRICTS ATSWCDS
741587880,HOUSTON ARBORETUM AND NATURE CENTER
741692204,CITIZENS ENVIRONMENTAL COALITION EDUCATIONAL FUND
741696145,ECOLOGY ACTION OF TEXAS INC
741946081,HOUSTON CLEAN CITY COMMISSION INC KEEP HOUSTON BEAUTIFUL
741962704,TEXAS SOLAR ENERGY SOCIETY INC
741983478,FRONTERA AUDUBON SOCIETY
741984482,COASTAL CONSERVATION ASSOCIATION
742055923,NATIONAL HISPANIC INSTITUTE INC
742130626,SAVE BARTON CREEK ASSOCIATION
742178792,SAN ANTONIO BOTANICAL GARDEN SOCIETY INC
742245311,WILDFLOWER DONOR INC
742250898,ALAMO HEIGHTS TERRELL HILLS GARDEN CLUB INC
742253593,CROWES NEST FARM INC
742274448,SOUTH TEXAS BOTANICAL GARDENS AND NATURE CENTER
742287354,KEEP EL PASO BEAUTIFUL
742352514,LOWER RIO GRANDE VALLEY NATURE CENTER
742387541,KEEP AUSTIN BEAUTIFUL INC
742428376,SAN MARCOS RIVER FOUNDATION INC
742441468,SUSTAINABLE FOOD CENTER INC
742466775,THE LAKE WHITNEY MINISTERIAL ALLIANCE
742487218,MCBRIDE CONSERVATION FUND FOUNDATION
742488227,VALLEY LAND FUND INC
742518996,WESTERN TRAILS GROUP ED KNAAK
742538984,RIVERSIDE NATURE CENTER ASSOCIATION
742550843,RECYCLING ALLIANCE OF TEXAS DBA STATE OF TX ALLIANCE FOR RECYLG
742562764,KEEP TEMPLE BEAUTIFUL INC
742590850,KEEP HARLINGEN BEAUTIFUL INC HARLINGEN PROUD
742594191,TEXAS GARDEN CLUBS INC RIO GRANDE CITY GARDEN CLUB
742600978,BEXAR COUNTY MASTER GARDENERS SCHULTZE HOUSE COTTAGE GDNS AND GIFTS
742601251,DAVIS MOUNTAINS TRANS PECOS HERITAGE ASSOCIATION
742607076,COLORADO RIVER WATCH FOUNDATION INC
742627643,ENVIRONMENTAL FUND FOR TEXAS EARTH SHARE OF TEXAS
742631397,FRIENDS OF THE COLORADO RIVER FOUNDATION INC
742681873,CENTRAL TEXAS RESOURCE CONSERVATION AND DEVELOPMENT COUNCIL INCORPORATED
742690667,HERB SOCIETY OF AMERICA PIONEER UNIT
742690768,KEEP MCALLEN BEAUTIFUL INC
742714186,CHAUTAUQUA FOUNDATION INC CAMP CHAUTAUQUA
742714211,TEXAS ASSOCIATION OF RESOURCE CONSERVATION AND DEVELOPMENT AREAS
742720710,CENTRO POR LA JUSTICIA
742739793,COOPERATIVE TEAMWORK AND RECYCLING ASSISTANCE
742742037,RGISC INC RIO GRANDE INTERNATIONAL STUDY CENT
742757165,TEXAS COALITION GRAZING LANDS CONSERVATION INITIATIVE INC
742768391,CLEAN AIR FORCE OF CENTRAL TEXAS
742769793,TEXAS WATER UTILITIES ASSOCIATION SOUTHEAST REGION
742866967,TEXAS WATER FOUNDATION INC
742879756,WIMBERLEY VALLEY WATERSHED ASSOC INC
742883847,A NURTURED WORLD INC
742884531,BEXAR LAND TRUST INC
742907255,HILL COUNTRY LAND TRUST INC
742924400,COMMUNITY INVESTMENT CORPORATION
742924909,COASTAL BEND BAYS AND ESTUARIES PROGRAM
742927796,FRIENDS OF ENCHANTED ROCK STATE NATURAL AREA INC
742932549,KEYSTONE HERITAGE PARK INC
742932637,BELL COUNTY MASTER GARDENERS ASSOCIATION INC
742948145,HILL COUNTRY CONSERVANCY INC
742974140,VICTORIA COUNTY MASTER GARDENER ASSOCIATION
742989863,PINES AND PRAIRIES LAND TRUST
743008249,NATIONAL NETWORK OF ABORTION FUNDS LILITH FUND INC
743016886,SPJST EDUCATION AND NATURE CENTER
743020979,METROPOLITAN PARTNERSHIP FOR ENERGY BUILD SAN ANTONIO GREEN
746049372,TEXAS GARDEN CLUBS INC 2035 BEAUMONT COUNCIL OF G C
746059676,TEXAS GARDEN CLUBS INC 2050 SAN ANTONIO GARDEN CENTER
746060646,AUSTIN AREA GARDEN CENTER INC
746062219,TEXAS RECREATION AND PARK SOCIETY
746068250,BIG BEND NATURAL HISTORY ASSOCIATION INC
746075031,BAYOU PRESERVATION ASSOCIATION INC
746077170,BAYOU BEND GARDENS ENDOWMENT
746106107,BEAUTIFY CORPUS CHRISTI ASSOCIATION
746131894,TEXAS GARDEN CLUBS INC 399 HONDO GARDEN CLUBS
747055759,KEEP TEXAS BEAUTIFUL INC
750309036,CCA TEXAS FUND GULF COAST CONSERVATION ASSOCIATION
750873312,OAK CLIFF SOCIETY OF FINE ARTS
750968821,AMARILLO BOTANICAL GARDENS
750974342,TEXAS GARDEN CLUBS INC TEXAS DISCOVERY GARDENS
751666070,KEEP LONGVIEW BEAUTIFUL INC
751707293,TEXAS GAME WARDEN ASSOCIATION INC
751761481,DALLAS ECOLOGICAL FOUNDATION
751825883,TEXAS LAND CONSERVANCY
751833438,WOODS AND WATERS FOUNDATION
751840314,FORT WORTH GARDEN CLUB INC
751853375,KEEP MIDLAND BEAUTIFUL INC
751879329,LAKE GRANBURY AREA BEAUTIFICATION COUNCIL INC
751980443,WICHITA FALLS STREAMS AND VALLEYS INC
752101234,TURTLE CREEK ASSOCIATION INC
752154523,ANGELINA BEAUTIFUL CLEAN
752215558,RIVER LEGACY FOUNDATION
752234375,KEEP ATHENS BEAUTIFUL
752243795,WOMENS COUNCIL OF THE DALLAS ARBORETUM AND BOTANICAL GARDEN
752244319,KEEP ODESSA BEAUTIFUL
752254312,KEEP MESQUITE BEAUTIFUL INC
752337868,TEXAS CONSERVATION FUND
752343282,DALLAS PALEONTOLOGICAL SOCIETY
752352954,SAN ANGELO FRIENDS OF THE ENVIRONMENT
752390840,EAST TEXAS ARBORETUM AND BOTANICAL
752400773,PINEYWOODS RESOURCE CONSERVATION AND DEVELOPMENT CORPORATION
752448845,PERMIAN BASIN MASTER GARDENERS
752450465,TEXAS ALLIANCE OF GROUNDWATER DISTRICTS
752462520,WILDCAT BLUFF NATURE CENTER INC
752488233,KEEP LEWISVILLE BEAUTIFUL
752550483,KEEP DENTON BEAUTIFUL
752573928,LEE PARK AND ARLINGTON HALL CONSERVANCY
752580047,KEEP IRVING BEAUTIFUL
752596907,RIVER BEND NATURE WORKS
752603041,PINEY WOODS REGIONAL ADVISORY COUNCIL
752645064,LONGVIEW PARKS AND LEISURE SERVICES FOUNDATION
752723299,VIRGINIA WOODS PROPERTY OWNERS ASSOCIATION INC
752788771,THE CRAPE MYRTLE TRAILS OF MCKINNEY FOUNDATION
752793697,KEEP ROWLETT BEAUTIFUL INC
752824979,EDWARDS PLATEAU PRESCRIBED BURNING ASSN
752831596,CAPROCK PARTNERS FOUNDATION
752841573,HOTZONE
752876262,THE DALLAS COUNTY AUDUBON SOCIETY INC
752943956,NATIONAL GRAZING LANDS COALITION
752955573,TRINITY RIVER COMMISSION FOUNDATION INC
753253640,OUR LANDS AND WATERS FDTN A PUBLIC PARTNERSHIP WITH THE USACE OUR LANDS AND WATERS FOUNDATION
754213005,NEW BRAUNFELS CONSERVATION SOCIETY FOUNDATION TRUST
756039955,LUBBOCK MEMORIAL ARBORETUM FOUNDATION INC
760008423,GARDEN CLUB OF HOUSTON
760031884,CRADLE OF TEXAS CONSERVANCY INC
760035175,CLEAN GALVESTON INC
760043028,TEXAS BIGHORN SOCIETY
760046318,TREES FOR HOUSTON
760105149,AIR AND WASTE MANAGEMENT ASSOCIATION GULF COAST CHAPTER GULF COAST CHAPTER
760183954,BUFFALO BAYOU PARTNERSHIP
760209022,AUDUBON DOCENT GUILD
760247588,ARMAND BAYOU NATURE CENTER FOUNDATION
760279876,GALVESTON BAY FOUNDATION
760280697,INTERNATIONAL OLEANDER SOCIETY
760327389,HERMANN PARK CONSERVANCY
760377029,KATY PRAIRIE CONSERVANCY
760392755,WASHINGTON COUNTY ADVISORY COUNCIL ON RECYCLING
760447336,TEXAS RICE INDUSTRY COALITION FOR THE ENVIRONMENT TEXAS R I C E
760474318,EMISSION REDUCTION CREDIT CORPORATION OF THE GULF COAST
760491491,THE MATAGORDA BAY FOUNDATION
760501430,URBAN HARVEST INC
760511886,SCENIC GALVESTON INCORPORATED
760546145,MATAGORDA COUNTY NATURE CENTER INC
760557498,BAYOU LAND CONSERVANCY
760579760,TEXAS GARDEN CLUBS INC 2216 PLANT AND PRAY GARDEN CLUB
760586373,FRIENDS OF THE BAYTOWN NATURE CENTER INC
760602346,HOUSTON TOMORROW
760604817,SAVE OUR BEACH ASSOCIATION
760617108,BLACKWOOD EDUCATIONAL LAND INSTITUTE BLACKWOOD LAND INSTITUTE
760617443,NORTH AMERICAN PROCESS TECHNOLOGY ALLIANCE NAPTA
760621454,FRIENDS OF THE EDDIE V GRAY WETLANDS EDUCATION CENTER INC
760663372,PRODUCED WATER SOCIETY INC
760668230,FORT BEND COUNTY MASTER GARDENERS INC
760685448,WILLOW WATERHOLE GREENSPACE CONSERVANCY INC
